Japanese,English,Note
その子を‥‥人質をはなしなさい！,The girl... Let her go!,gs3_046.txt
ダマれ！　ち、近寄ると‥‥ ヒトジチ、殺すッ！,Shut up! C-Come closer... And I kill her!,gs3_046.txt
‥‥ザンネンだったわね。 あなたは、ここまでよ‥‥。,"Sorry, but you're not going to get the chance...",gs3_046.txt
パァァァン！,*BANG!*,gs3_046.txt
‥‥ぼくは今、ある裁判の記録を 目の前にしている。,I'm reading through the file of an old court case.,gs3_046.txt
ぼくの師匠、千尋さんが 初めて法廷に立ったときの記録だ。,"It was the first case of my long-time mentor, Mia Fey...",gs3_046.txt
‥‥千尋さんが初めて弁護したのは 脱走した死刑囚だった。,Her very first client was a death row inmate who had recently broken out of prison.,gs3_046.txt
それは、ぼくが千尋さんに出会う さらに１年前のことだ‥‥,That was a whole year before Mia and I ever met.,gs3_046.txt
～６年前～ 綾里千尋・初めての法廷,-- 6 Years Earlier -- Mia Fey First Trial,gs3_046.txt
２月１６日　午前　９時２４分 地方裁判所　被告人第４控え室,"February 16, 9:24 AM District Court Defendant Lobby No. 4",gs3_046.txt
（ううう‥‥もうダメ。 キンチョーで死んじゃいそう）,(Ugh... I'm so nervous. I feel like I'm going to die.),gs3_046.txt
（やっぱり、やめて おけばよかったかな‥‥）,(I never should've accepted this case...),gs3_046.txt
きゃああああああッ！,Eeeeeeek!,gs3_046.txt
‥‥あ。お、おはようございます！ （ビビっちゃダメよ、千尋！）,"...Ah! G-G-Good morning! (Don't be so jumpy, Mia!)",gs3_046.txt
う。オレ。やってない！ ダレも殺してない！,I-I din't do nuttin'! I swear! I din't kill nobody!,gs3_046.txt
（尾並田　美散（おなみだみちる） ‥‥私の、初めての依頼人）,(Terry Fawles... ...My first client.),gs3_046.txt
（５年前、死刑を宣告されて 服役中だった‥‥脱獄囚）,"(Sentenced to death 5 years ago, and now... a prison escapee.)",gs3_046.txt
（とにかく、ここは軽い世間話ね。 リラックスさせてあげなくちゃ）,"(Just relax, Mia! Make small talk and try to relax him!)",gs3_046.txt
‥‥あ、あの。 どうしてダツゴクしたんですか？,"...Err, umm... So why did you escape anyway?",gs3_046.txt
う。う。うがー！,Ah. Ah. UGGA!,gs3_046.txt
きゃああ！ ゴメンなさいゴメンなさい！,Eeeeek! I'm sorry! I'm sorry!,gs3_046.txt
‥‥うう。オレ、やってない！ なんにもやってない！,...Ugh. I din't do nuttin'! I din't kill nobody!,gs3_046.txt
オレ。ウソ、つかない！ ダツゴクなんて、知らない！,I never... I never lie! I din't escape from nowhere!,gs3_046.txt
え‥‥,Err...,gs3_046.txt
でも‥‥。現におととい、 再逮捕されたじゃないですか。,"But, Mr. Fawles... The police just recaptured you two days ago.",gs3_046.txt
‥‥‥‥う。 ゴメン。ちょっと、ウソついた。,Ugh. Sorry. I told a little lie.,gs3_046.txt
（うううう‥‥）,(Oh boy...),gs3_046.txt
でも！　オレ、やってない！ ダレも‥‥殺してない！,"But anyway, I din't do it! I never killed nobody!",gs3_046.txt
あの。シツレイですけど‥‥ 死刑囚さん、なんですよね？,"Umm, sorry for asking but... You're on death row, right?",gs3_046.txt
う。う。うがー！,Uh. Uh... UGGA!,gs3_046.txt
きゃああ！ ゴメンなさいゴメンなさい！,"Eeeeeek! I'm really, really sorry!",gs3_046.txt
‥‥死刑判決、今から５年前。 オレ、ハメられた！　ダマされた！,They sentenced me to die 5 years ago! But I was tricked I tell you!,gs3_046.txt
