Japanese,English,Note
１２月２６日　某時刻 成歩堂法律事務所,December 26 Wright & Co. Law Offices,gs1_026.txt
‥‥‥‥。,,gs1_026.txt
誰もいないと この事務所、しずかだな。,Sure is quiet here with nobody around.,gs1_026.txt
そうだ‥‥。,Right...,gs1_026.txt
早く、真宵ちゃんを 出してあげないと‥‥。,I have to get Maya out of that detention cell soon!,gs1_026.txt
千尋さんが“チャーリー”と 名づけてかわいがっていた植物。,"Mia's favorite plant. Its name is ""Charley.""",gs1_026.txt
最近は、真宵ちゃんも 世話に慣れてきたようで、,Maya's gotten the knack of watering it lately.,gs1_026.txt
チャーリーくん、元気を 取りもどしたみたいだ。,Charley's been perking up these days.,gs1_026.txt
ムズカシイ法律の本が あざ笑うように並んでいる。,Difficult-looking legal books stand in a formidable row. They mock me.,gs1_026.txt
ちょっと読んでみたら、 アタマが痛くなった。,"I tried reading one, and it made my head hurt.",gs1_026.txt
しまうとき、落っことして 足まで痛くなった。,"When I closed it, it slipped out of my hand. Then my foot hurt too.",gs1_026.txt
今日も向かいのホテルは 大はんじょうだ。,Looks like it's cleaning day again at the hotel across the way.,gs1_026.txt
なんでも今度、支店を 出すそうだ。,I hear they're planning a second branch outside the city.,gs1_026.txt
ボーイが、引き出しのドライバーの 角度をなおしているのが見える。,"I can see the bellboy, getting the angle of that screwdriver in the drawer just right.",gs1_026.txt
千尋さんが使っていた デスクだ。,Mia's desk.,gs1_026.txt
お客がもっと増えれば 座る機会もあるだろうが、,"If we had more clients,",gs1_026.txt
,I would probably sit here more often.,gs1_026.txt
今はソファでテレビを 見ていることの方が多い。,"Lately, I've been spending more time on the couch, watching TV.",gs1_026.txt
一度、真宵ちゃんがトノサマンの ポスターを持ってきて、,Maya brought in a poster of the Steel Samurai the other day.,gs1_026.txt
張る、張らないで大ゲンカに なってしまった。,We had a big fight over whether to put it up or not.,gs1_026.txt
まだあきらめきれないらしく、 スキをうかがっているみたい。,I know she's just waiting for a chance to sneak it up on the wall.,gs1_026.txt
いやあ。やっぱりいいねえ、 シャバの空気は。,"Ahh! Fresh air! I gotta say, freedom feels great.",gs1_026.txt
明日の法廷、もう ムチャしないでくれよ。,"Behave yourself in the courtroom tomorrow, okay?",gs1_026.txt
クックックッ‥‥。 それは、どうかな？,Heh heh heh. Misbehaving's much more fun.,gs1_026.txt
もう御剣も、保釈金 払ってくれないぞ、たぶん。,It's not going to be so much fun when Edgeworth refuses to pay your bail again.,gs1_026.txt
うん。ムチャしない。,Right. I'll behave.,gs1_026.txt
（‥‥やれやれ）,(Oh dear...),gs1_026.txt
どうしようか？ これから‥‥。,"Well, what should we do?",gs1_026.txt
あたし、留置所にいたから 何も知らないんだよ。,I don't know! I've been in detention this whole time.,gs1_026.txt
なるほどくんにまかせた！,I think I'll let you decide what we should do. Deal?,gs1_026.txt
どう？ ‥‥何か気づいたこと、ある？,Well? Any thoughts you want to share?,gs1_026.txt
とにかくあたし、留置所に いたからねー。,"Well, I was in detention all day.",gs1_026.txt
ちょっと、考える時間が ほしいなあ。,I think I'd like more time to think.,gs1_026.txt
（留置所では、きっと千尋さんの ことでも考えていたんだろうな）,"(Poor Maya, she probably thought about Mia the whole time she was in there...)",gs1_026.txt
あたしに何か見せるより、 早く調査に行こうよ！,Don't waste time showing me things! We have to get cracking on this case!,gs1_026.txt
テキは、またベツの証人を つれてくるんだから！,You know the enemy has more tricks up his sleeve! He's bringing in another witness!,gs1_026.txt
１２月２６日　某時刻 留置所　面会室,December 26 Detention Center Visitor's Room,gs1_026.txt
真宵ちゃん！,Maya!,gs1_026.txt
あっ！　なるほどくん！,"Hey! Nick, it's you!",gs1_026.txt
‥‥だいじょうぶだった みたいだね‥‥御剣検事。,I'm glad Mr. Edgeworth made it through the day okay.,gs1_026.txt
よかった‥‥。,It's a relief...,gs1_026.txt
,Hey.,gs1_026.txt
なんで、あんなこと したんだよ！,"Why'd you do that, anyway?",gs1_026.txt
わからない。,I don't know.,gs1_026.txt
でも‥‥あたし、何か しなくちゃ、って思って。,I... just knew I had to do something.,gs1_026.txt
‥‥そりゃあ、あたしは お姉ちゃんじゃないけど‥‥。,I know I'm not the lawyer my sister was...,gs1_026.txt
ゴメンナサイ。,I'm sorry.,gs1_026.txt
まあ、おかげで 助かったんだけどさ‥‥。,"Well, you did save the trial...",gs1_026.txt
もう、ムチャしないでくれよ。,"Just, behave from now on, okay?",gs1_026.txt
う‥‥うん。,O... okay.,gs1_026.txt
面会のようすを監視する看守だ。,This guard monitors the visitor's room.,gs1_026.txt
さっきから、まったく動かない。 さすが、プロだな。,He hasn't moved an inch since I came in. A real pro.,gs1_026.txt
ごていねいに、カメラで 見張っているようだ。,Smile for the camera...,gs1_026.txt
もう、取り調べとか受けたの？,Have you been questioned yet?,gs1_026.txt
ううん。‥‥まだ。,No... not yet.,gs1_026.txt
さっき、イトノコさんが 来たんだよ。,Detective Gumshoe was here just now.,gs1_026.txt
