Japanese,English,Note
２月２３日　午前　９時３４分 地方裁判所　被告人第２控え室,"February 23, 9:34 AM District Court Defendant Lobby No. 2",gs1_038.txt
‥‥いかがでしたかしら、 成歩堂弁護士。きのうの調査は。,"How did the investigation go yesterday, Mr. Wright?",gs1_038.txt
正直なところ‥‥まだハッキリ しない点がいくつか、あります。,"Frankly, there are still a lot of... gray areas.",gs1_038.txt
‥‥というか、 ハッキリしない点だらけだよ‥‥,"Or rather, the whole thing is one big gray area...",gs1_038.txt
どんな判決になっても、 気に病むことはありません。,"Don't worry about me, no matter what the outcome.",gs1_038.txt
カクゴはできていますから。,I'm ready to accept my fate.,gs1_038.txt
‥‥あたし、信じてるから。 お姉ちゃんのコト‥‥,"I believe in you, sis.",gs1_038.txt
成歩堂弁護士。センパイとして １つだけ、忠告しておきます。,"Mr. Wright, let me offer you a word of advice.",gs1_038.txt
なんですか？,Yes?,gs1_038.txt
弁護士は、依頼人を信じるなど もってのほか。,"A defense attorney should never ""believe"" their client.",gs1_038.txt
‥‥！,,gs1_038.txt
被告人は、疑われる理由が あるから、起訴される‥‥,The defendant is called to trial because they are suspected of wrongdoing!,gs1_038.txt
それを忘れないことです。,Never forget that.,gs1_038.txt
‥‥ともえさん。,"Ms. Skye, you...",gs1_038.txt
あなたは、千尋さんの先輩で、 あのひとに、よく似ています。,You remind me a lot of Mia.,gs1_038.txt
‥‥でも。おふたりには、決定的に ちがう点が、１つあります。,But there is one decisive difference between you and her.,gs1_038.txt
それは？,And that is?,gs1_038.txt
あなたは、弁護士ではありません。,You're not a defense attorney.,gs1_038.txt
そろそろ時間ですね。,I believe it's almost time for the trial.,gs1_038.txt
それでは、おねがいします。 ‥‥弁護士さん。,"Good luck, Mr. Wright.",gs1_038.txt
（真宵ちゃんがいない、 初めての法廷‥‥か）,(My first trial without a Fey helping me...),gs1_038.txt
（それって、つまり‥‥）,(No one's going to bail me out this time...),gs1_038.txt
（‥‥だれのチカラも借りない。 ぼく自身が、見つけるんだ）,(I'll be alone in there...),gs1_038.txt
（この手で‥‥真実を！）,(So I have to discover the truth all by myself!),gs1_038.txt
がんばりましょう、成歩堂さん！ あたしがついてますからね！,"Let's do it, Mr. Wright! I'll be with you the whole way!",gs1_038.txt
同日　午前１０時 地方裁判所　第９法廷,"February 23, 10:00 AM District Court Courtroom No. 9",gs1_038.txt
これより、宝月　巴の 法廷を開廷します。,The court is now in session for the trial of Ms. Lana Skye.,gs1_038.txt
弁護側、準備完了しております。,"The defense is ready, Your Honor.",gs1_038.txt
検察側‥‥もとより。,"The prosecution has been ready for a while, Your Honor.",gs1_038.txt
（御剣‥‥）,(Edgeworth...),gs1_038.txt
（あの事件以来、ひさしぶりだな。 ‥‥法廷に立つのは）,(I haven't been in court since Edgeworth's trial... It's been a while now.),gs1_038.txt
‥‥よけいな感情をまじえる 必要はない、成歩堂　龍一。,"I hope that personal feelings will not be a part of the proceedings today, Mr. Wright.",gs1_038.txt
‥‥！,,gs1_038.txt
まわりの者が何を言おうが、 自分の進むべき道は、私が決める。,"I will choose the path I think is right, regardless of what those around me might say.",gs1_038.txt
外野にはしょせん、 判決を変えることはできないのだ。,"The judgment to be made here is in our hands, not those of anyone else.",gs1_038.txt
それでは、御剣検事。 冒頭弁論をおねがいします。,"Very well, Mr. Edgeworth, your opening statement please.",gs1_038.txt
宝月　巴は、主席検事でありながら ユルされざる罪を犯した。,Chief Prosecutor Lana Skye has committed an unpardonable crime.,gs1_038.txt
しかも‥‥検事局を犯行現場に 選ぶという暴挙ッ！,"Not only this, but she was rash enough to commit it in the Prosecutor's Office lot!",gs1_038.txt
くうう‥‥やっぱり、ナマは ハクリョクがちがいますね。,Wow... He's much more forceful in person.,gs1_038.txt
なんかあたし、いろいろ 白状したくなってきちゃいました。,I suddenly feel like confessing to everything!,gs1_038.txt
しかし‥‥その暴挙が イノチ取りとなったようだ。,"However, she will now pay for her rashness with her life.",gs1_038.txt
犯行は、ある証人に目撃された。 いわば“プロ”と呼べる証人に！,There was a witness to her crime...,gs1_038.txt
,"A ""professional"" witness!",gs1_038.txt
それでは、その証人を 入廷させていただきましょう！,"Well then, call your first witness, Mr. Edgeworth!",gs1_038.txt
市ノ谷　響華を証人席へ。,"The prosecution calls its first witness, Ms. Angel Starr, to the stand.",gs1_038.txt
（《ゲロまみれのおキョウ》さん、 か‥‥）,"(The ""Cough-up Queen""...?)",gs1_038.txt
ええと、あなたはどこかで‥‥,Hmm? Haven't I seen you somewhere...?,gs1_038.txt
あら、こちら。キャビア弁当で よろしかったかしら。,"You ordered the Caviar Lunch, right?",gs1_038.txt
おほッ！　これが、キャビア！ 生まれて初めて食べますぞッ！,Ho ho! Caviar! I've never eaten caviar before!,gs1_038.txt
（ナミダ目で メシをかきこんでる‥‥）,(The judge is really wolfing it down...),gs1_038.txt
そちらさまも。‥‥ふりかけ弁当で よろしかったかしら？,"Ah, and for you... I have a Fiesta Bowl.",gs1_038.txt
は、はあ‥‥どうも。,Uh... thanks.,gs1_038.txt
‥‥証人。名前と職業を。,Will the witness state her name and profession?,gs1_038.txt
それで、そちらさまは‥‥ ゴマ弁当でよろしかったかしら？,"Ah, and you, sir... Did you order ""The Fingerprint"" lunchbox?",gs1_038.txt
ランチタイムには、まだ早い。 名前と、職業をおねがいする。,"It is too early for lunch. Your name and profession, please.",gs1_038.txt
そちらさま、いかがかしら？ お味のほうは。,"Well, Your Honor? How does it taste?",gs1_038.txt
これが、アコガレのキャビア‥‥ 脳がとろけそうですぞッ！,So this is why everyone raves about caviar! It's so tasty it hurts!,gs1_038.txt
私、キャビアとは、ヒジキに 似たものだと思ってました！,I always thought caviar would taste like pickled tapioca.,gs1_038.txt
（どんなイメージだよ‥‥）,(What the heck does pickled tapioca taste like!?),gs1_038.txt
‥‥名前と、職業だ。,Name. Profession. Now.,gs1_038.txt
市ノ谷　響華でございますわ。 ‥‥以後、お見知りおきを。,Me? The name is Angel Starr. Don't go forgetting it.,gs1_038.txt
ワケあって《ベントーランド》にて 陣頭指揮をとっております。,I find myself running Lunchland these days.,gs1_038.txt
これでよろしかったかしら？ ‥‥御剣検事サマ？,"Is... that what you wanted me to say, Mr. Edgeworth?",gs1_038.txt
