Japanese,English,Note
プルルル‥‥‥‥ プルルル‥‥‥‥,Brrring... Brrrrring...,gs1_002.txt
ピッ,*beep*,gs1_002.txt
はい‥‥綾里ですけど。,Hello? This is Maya.,gs1_002.txt
もしもし。私よ。,"Hey Maya, it's me.",gs1_002.txt
あ、チヒロお姉ちゃん！ どうしたの？　めずらしいね。,Mia! What's up? You haven't called in a while.,gs1_002.txt
ごめんね。最近、忙しくって。 ‥‥どう？　元気？,"Sorry, I've been so busy. How you been?",gs1_002.txt
もう！　かわいい妹を１人で ほったらかして、ひどいなー。,"Well, LONELY. And it's all YOUR fault.",gs1_002.txt
なーんて。,"Nah, I'm just teasing.",gs1_002.txt
だいじょうぶだよ！　もう、 慣れちゃったから‥‥１人ぐらし。,I've been great! I'm finally getting used to having my own place.,gs1_002.txt
そう‥‥ありがとう。,That's good to hear.,gs1_002.txt
‥‥あのね。実はちょっと、 たのみたいことがあるの。,"Actually, I'm calling because I have a favor to ask.",gs1_002.txt
あー、わかった！　また、 証拠品あずかれって言うんでしょ？,"I know, I know. You want me to hold evidence for you?",gs1_002.txt
よくわかったわね。,Sharp as always!,gs1_002.txt
‥‥今度の事件、ちょっと 話が大きくなっていてね。,There's a lot of buzz about the upcoming trial...,gs1_002.txt
裁判の日まで、そばに 置いておきたくなくて。,I just don't feel safe keeping the evidence here.,gs1_002.txt
へえ‥‥。 で？　で？　今度は何？,"I gotcha. So, what is it this time?",gs1_002.txt
置き時計よ。,It's... a clock.,gs1_002.txt
‥‥時計？,A clock?,gs1_002.txt
そう。考える人の形をしてて、 なんと、しゃべるのよ！,"Yeah, it's made to look like that statue, ""The Thinker."" And it tells you the time!",gs1_002.txt
あなた、好きでしょ？ こういう、オモチャみたいなの。,I thought you might like it. You always liked toys.,gs1_002.txt
あー。またあたしのコト、 コドモ扱いしたー。,"Hey! I'm not a little girl anymore, Sis!",gs1_002.txt
ふふふ。 ‥‥ごめんなさい。,"Now, now. You know I'm only teasing.",gs1_002.txt
‥‥あ。でも、今はこの時計、 しゃべらないんだったっけ。,"Ah, I should probably tell you, the clock isn't talking right now.",gs1_002.txt
えー、なんでー？ ‥‥つまんない。,Huh? It's not working? That's lame!,gs1_002.txt
さっき、 時計の機械を抜いちゃったから。,I had to take the clockwork out. Sorry.,gs1_002.txt
かわりに、書類が入っているの。,I put some papers inside it instead.,gs1_002.txt
書類？ ‥‥それが“証拠品”なの？,"Papers? Is that the evidence, then?",gs1_002.txt
うー。なんか、 話がソレっぽくなってきたね。,"Hmm, well... there's a possibility that it might turn out that way, yes.",gs1_002.txt
‥‥じゃあ、今晩の９時ごろ、 事務所に来てくれるかしら？,"Can you come by the office tonight, say 9:00, to pick it up?",gs1_002.txt
裁判の打ち合わせ、 たぶん、そのころまでかかるから。,I'll be in a pretrial meeting until then.,gs1_002.txt
お姉ちゃん！　また、何か おいしいのゴチソウしてよね！,"Okay, Sis, but I expect dinner! Something good!",gs1_002.txt
あ、みそラーメンがいいな みそラーメン。,Like... burgers! I could really go for a good burger.,gs1_002.txt
はいはい。 じゃ、いつものお店、行こうね。,"Okay, okay. We'll hit the usual joint.",gs1_002.txt
やったー！　ヤクソクだよ！,Alright! It's a deal!,gs1_002.txt
じゃ、お姉ちゃん。 また、あとでね！,"Okay, Sis, see you soon!",gs1_002.txt
うん。 待ってるわよ、マヨイ。,"Yep. I'll be waiting, Maya.",gs1_002.txt
ピー,*beep*,gs1_002.txt
《ただ今の通話、録音しました。 ９月５日、午前９時２７分》,"[Conversation recorded. September 5, 9:27 AM]",gs1_002.txt
９月　５日　午後８時５７分 綾里法律事務所,"September 5, 8:57 PM Fey & Co. Law Offices",gs1_002.txt
‥‥じゃあ、ミス・チヒロ。 もらっていくよ‥‥書類を。,"Now, Miss Fey, I'll take what's mine... the papers.",gs1_002.txt
悪いけど、渡せないわ。 ‥‥ここには、ないもの。,"I'm sorry, but I can't give you what I don't have.",gs1_002.txt
ミス・チヒロ‥‥、 ウソはヘタみたいだね。,"Miss Fey, you are a poor liar.",gs1_002.txt
ちゃんとあるじゃないか、 そこに‥‥。,"Why, I see it right over there...",gs1_002.txt
書類を飲み込んだ 《考える人》が、さ。,"That must be ""The Thinker"" that swallowed those papers.",gs1_002.txt
‥‥ど、どうしてそれを！,How could you know...?,gs1_002.txt
ははっ。 ドンチュノウ？　知らないのかい？,Ho hoh. You are not cogniferous of my background?,gs1_002.txt
ぼかぁ、情報を集めるのが 仕事なんだよ。,"Gathering information is my business, you see.",gs1_002.txt
油断‥‥したわ。,I... I should have been more careful.,gs1_002.txt
‥‥フン。,Ho hoh.,gs1_002.txt
それと‥‥ ちょっと気の毒なんだけど、,My dear Miss Fey... I am so very sorry.,gs1_002.txt
キミには、約束してもらわなきゃ ならないことがあるんだ。,But I am afraid I must ask you for one more thing.,gs1_002.txt
エターナル・サイレンス‥‥ 永遠の沈黙、をね。,"Your eternal silence... Farewell, Miss Fey.",gs1_002.txt
‥‥‥‥！,,gs1_002.txt
‥‥コ‥‥ナ‥‥カ‥‥,Red... White... Blue...,gs1_002.txt
９月　５日　午後９時　８分 綾里法律事務所,"September 5, 9:08 PM Fey & Co. Law Offices",gs1_002.txt
ふう。 すっかり遅くなっちまった。,"Uh oh, I'm late.",gs1_002.txt
‥‥おかしいな。 所長、帰っちゃったのかな。,"Huh, that's strange. The chief must have gone home already.",gs1_002.txt
妹さんが遊びにくるから、 ゴハン食べに行こうって‥‥。,She said her sister was coming over so we should all go out for dinner...,gs1_002.txt
なんだ‥‥このニオイ‥‥。,What's that smell...?,gs1_002.txt
‥‥血‥‥？,Blood...?,gs1_002.txt
ち、千尋さん！ （所長室か！）,Mia! (Maybe she's in her office!),gs1_002.txt
‥‥！,,gs1_002.txt
（さ、さっきの女の子は ‥‥どこだ！）,(That girl just now... where'd she go!?),gs1_002.txt
（そこのソファに 寝かせておいたのに‥‥！）,(I put her right there on that sofa...!),gs1_002.txt
（まさか‥‥逃げた、のか？）,(Uh oh... I hope she didn't run on me.),gs1_002.txt
うわっ！,Yipes!,gs1_002.txt
（‥‥ふう。　おどかすなよ‥‥）,(Don't scare me like that...),gs1_002.txt
‥‥あのさ。,Umm...,gs1_002.txt
名前‥‥教えてくれないかな？,"Excuse me but, who are you?",gs1_002.txt
だいじょうぶ。 ぼくは、この事務所の人間だから。,It's okay. I work here.,gs1_002.txt
マヨイ‥‥。,Maya...,gs1_002.txt
アヤサト・マヨイ。,Maya Fey.,gs1_002.txt
あやさと‥‥まよい‥‥。,Maya... Fey?,gs1_002.txt
（“マヨイ”だって‥‥？）,"(""Maya""...?)",gs1_002.txt
（千尋さんが書き残したのは、 この子のことだったのか‥‥？）,(So Mia was writing this girl's name!),gs1_002.txt
（ちょっとこの子に、あの領収書を つきつけてみよう）,(Maybe I should show her the receipt?),gs1_002.txt
（法廷で覚えたテクニックが、 実生活で役に立つとは‥‥）,(I never thought there'd be a use for evidence like this outside the courtroom!),gs1_002.txt
ファン‥‥ファン‥‥ ‥‥ファン‥‥ファン‥‥,*whee-ooo* *whee-ooo*... *whee-ooo* *whee-ooo*...,gs1_002.txt
！,,gs1_002.txt
パ、パトカーだ！ （ここへ向かってるみたいだ‥‥）,The police! (Sounds like they're coming this way!),gs1_002.txt
動くな！　警察だ！,Freeze! Police!,gs1_002.txt
自分は、刑事課の イトノコギリという者ッス。,"Alright, I'm Detective Dick Gumshoe, see?",gs1_002.txt
（イトノコギリ‥‥ ヘンな名前だな）,(Gumshoe...? What an odd name.),gs1_002.txt
このビルの向かいの ホテルの客から、,"We received a report from the building across the way, see.",gs1_002.txt
殺人を目撃したという通報が 入ったので、かけつけたッス。,Got a person saying they saw a murder.,gs1_002.txt
（‥‥そうか。あの女の人だな）,(It must have been that woman I saw.),gs1_002.txt
とりあえずアンタたち、 そこを動いちゃダメッスよ。,"Anyway, I don't want either of you moving one inch, 'kay?",gs1_002.txt
（‥‥やれやれ‥‥）,(Great. Just great.),gs1_002.txt
（マヨイ‥‥ちゃんか。 まさか、この子が‥‥？）,"(Maya... Wait, she wouldn't have... nah.)",gs1_002.txt
うおおおおおおおおおおおおおッ！,Whoaaaaaaaaaaaah!,gs1_002.txt
ちょっといいッスかッ！,Scuze me!,gs1_002.txt
きゃっ！,Eek!,gs1_002.txt
この“マヨイ”という文字に 心当たりはないッス？,"This word ""Maya"" here mean anything to you?",gs1_002.txt
‥‥‥‥！,,gs1_002.txt
あ。あの‥‥それ‥‥。,Um... that...,gs1_002.txt
あ‥‥あたしの名前‥‥,That's my name...,gs1_002.txt
なんスとぉぉぉッ！,WHAAAAT!?,gs1_002.txt
これは、ヒガイシャが血で 書いたメモッス！,"The victim drew this here note in her own blood, see?",gs1_002.txt
息を引き取るまぎわ、 ハンニンを告発したッス！,"With her dying breath, she wrote down the killer's name!",gs1_002.txt
あ‥‥あたしじゃありま,K-killer...? I'm not--,gs1_002.txt
こりゃもう、キマリッス！ 署まで来てもらうッス！,"Case closed! You're coming down to the precinct, ma'am.",gs1_002.txt
え、え‥‥？,W-what?,gs1_002.txt
千尋さんの妹・真宵ちゃんは、 緊急逮捕された。,"Mia's younger sister, Maya, was arrested on the spot.",gs1_002.txt
ぼくも取り調べを受けて、 解放されたのは、明け方だった。,I was taken in for questioning and didn't get out until the next morning.,gs1_002.txt
まぶたは重かったが、 眠れるわけがない。,My eyes were heavy... but I couldn't sleep.,gs1_002.txt
留置所の面会が始まる 時間を待って、,"I sat around, waiting for visiting hours to begin at the detention center.",gs1_002.txt
ぼくは、すぐに真宵ちゃんに 会いに行った。,I had to talk to Maya as soon as possible.,gs1_002.txt
（‥‥とにかく、早く 警察を呼ぼう！）,(I'd better hurry up and call the police!),gs1_002.txt
所長室へ通じるドアだ。 半開きになっている。,The door to the chief's office. It's slightly open.,gs1_002.txt
ドアノブには 触れない方がいいだろう。,I'd better not touch the door knob.,gs1_002.txt
受付に使っているデスクだ。 いつもぼくが座っている。,The reception desk. I usually sit here.,gs1_002.txt
