Japanese,English,Note
‥‥睡眠薬を飲まされたの‥‥,That was... no accident...,gs2_004.txt
あれは‥‥事故じゃなかったわ,I was drugged... with sleeping pills...,gs2_004.txt
あたしは‥‥殺されたのよ ‥‥アイツに‥‥,I was murdered... by that person...,gs2_004.txt
‥‥だから‥‥復讐してやった‥‥,That's why... I took... my revenge...,gs2_004.txt
当然でしょ？　のどか‥‥,It's only fair... Isn't it... ...Ini?,gs2_004.txt
‥‥せっかくまた、 なるほどくんに会えたのに‥‥。,"I finally get to see you again, and...",gs2_004.txt
きみのせいじゃないよ。,It's not your fault. You didn't do it.,gs2_004.txt
あたし‥‥殺しちゃったんだ。 ‥‥あの人を。,"No, I... I did it... I killed that person.",gs2_004.txt
あれは、きみじゃなかったんだ。,But that wasn't you.,gs2_004.txt
ううん。 おんなじことだよ‥‥。,It doesn't matter. It might as well have been me.,gs2_004.txt
（まさか、こんなことに なるなんて‥‥）,(I can't believe something like this happened...),gs2_004.txt
（‥‥すべての始まりが、 アタマの中によみがえった）,"(The events of that gloomy, rainy afternoon that started this whole mess...)",gs2_004.txt
（‥‥あの、うっとうしい 雨の午後の情景が‥‥）,(keep playing through my mind...),gs2_004.txt
６月１６日　午後　３時３４分 成歩堂法律事務所,"June 16, 3:34 PM Wright & Co. Law Offices",gs2_004.txt
‥‥うっとうしい雨です。,What depressing rain...,gs2_004.txt
わかりますか？ うっとうしいんですよ、私は！,Do you understand how depressed that makes me!? Do you!?,gs2_004.txt
は、はあ‥‥。,"Uh, I guess...",gs2_004.txt
それ以上にハラが立つのが、 天気予報のお姉さんです。,"But actually, more than being depressed, I'm angry. Angry at that weather girl on TV.",gs2_004.txt
《梅雨の合間、つかのまの お日さまがのぞくでしょう》‥‥,"""I think our little rainy spell will take a break with a day of sun!""",gs2_004.txt
お姉さんはこう、ハッキリ言った！ 断言してもいい！,...is what that girl said! I'd stake my life on it!,gs2_004.txt
それはそれは‥‥。,"Well, it's the weather...",gs2_004.txt
だから私は今日、 カサを持ってこなかった。,But that's why I didn't bother to bring an umbrella today.,gs2_004.txt
‥‥それが、このザマです！ １５万円のスーツが台無しだ！,"What nerve, calling herself a weather girl! She's going to hear about my $1500 suit!",gs2_004.txt
あの‥‥。 それで、ご用件は？,Um... About your case...,gs2_004.txt
その天気予報のお姉さんを 訴えるんですか？,Unless you're planning on suing the weather girl...?,gs2_004.txt
これは、シツレイ。,I'm sorry.,gs2_004.txt
本題に入る前の、軽い 世間話のツモリだったのですが。,"I thought that before we got down to business, we could have some friendly chatter.",gs2_004.txt
私、外科医をやっております。 霧崎　哲郎（きりさきてつろう）。,My name is Dr. Turner Grey. I'm a surgeon.,gs2_004.txt
（この先生に手術されるのは カンベンしてほしいな‥‥）,(Remind me never to end up under his knife...),gs2_004.txt
今日は、この件で やってまいりました。,I'm here today because of this incident.,gs2_004.txt
《霧崎外科医院で医療ミス。 １４人の入院患者が死亡》,"""Malpractice at Grey Surgical Clinic. Fourteen In-Patients Lose Their Lives!""",gs2_004.txt
‥‥ああ。 あなたが、あの‥‥？,...Oh. You're... the doctor at...?,gs2_004.txt
まったく、ハラ立たしい話です。,It's really quite upsetting.,gs2_004.txt
いいですか？　これは保証します。 私は、ハラを立てているんです！,Did you hear me!? UPSETTING!,gs2_004.txt
はいはいはい。 そうなんでしょうね、霧崎先生。,"Yes, yes, I heard you. I agree, it's quite upsetting, Dr. Grey.",gs2_004.txt
ミスをしたのは、看護師なんだ！,The one that screwed up was that nurse!,gs2_004.txt
１４人を殺したのは、 看護師の投薬ミスだったのですぞ！,It was her that got the medications mixed up and killed those 14 patients!,gs2_004.txt
しかも！ いいですか、しかもですぞ！,And yet! Now listen good! And yet!,gs2_004.txt
この看護師は、自分の罪を認める 前に、死んじまったんです！,That nurse had the nerve to go and die before admitting to her wrongdoing!,gs2_004.txt
あろうことか、この私に なんのことわりもなく！,She didn't even offer any sort of explanation to me! And this is the kicker!,gs2_004.txt
勝手に交通事故を起こして、 勝手に車ごとぺちゃんこです！,She up and has herself a grand ol' accident and crashes her car!,gs2_004.txt
ぺちゃんこですぞ！ わかりますか？　それも、車ごと！,Smash! Crunch! Instantly transforming her car into the accordion model!,gs2_004.txt
（‥‥そう。今から１年前、 ワイドショーは大さわぎだった）,"(That's right... About a year ago, all the tabloid shows were talking about it.)",gs2_004.txt
（１４人も亡くなった医療ミスと、 看護師のナゾの事故死‥‥）,(Fourteen victims of medical malpractice and the nurse's mysterious fatal accident.),gs2_004.txt
（事故は霧崎先生が仕組んだ、 なんてウワサもあった）,(There were rumors that Dr. Grey had actually caused that crash.),gs2_004.txt
（医療ミスの真相をかくすため、 永久にダマらせたのだ、と‥‥）,(People said it was to forever hide the person responsible for the malpractice incident.),gs2_004.txt
なんで私が‥‥ いいですか、もう一度言いますよ！,"Why would I...? Now, I'm just going to say this once --",gs2_004.txt
なんでこの私が、あの看護師を 殺さなければならないんですか？,Why on Earth would I want to kill that nurse?,gs2_004.txt
１４人殺したのは、彼女なんだ！ 私じゃない！,She's the one who killed those 14 patients! Not me!,gs2_004.txt
おキノドクだと思いますけどね。,"I think you need to take a deep breath, doctor, and focus...",gs2_004.txt
でも、もう１年も前の話ですよ。 なんで、今さら‥‥？,"More to the point, this case is over a year old. Why bring it up now...?",gs2_004.txt
今だからこそ！ なんとかせねばならんのです！,That's simple! Because the situation is slipping out of my grasp.,gs2_004.txt
いいですか！　私の病院には、 患者が寄りつかない。,This just won't do. My clinic isn't seeing nearly as many patients nowadays.,gs2_004.txt
どういうことかわかりますか？ 来ないんですよ、患者が！,Do you understand what that means!? It means they're not coming to my clinic!,gs2_004.txt
（‥‥そりゃそうか。 ぼくだって行きたくないもん）,"(You don't say...? If it were me, I don't think I'd want to go either.)",gs2_004.txt
それで‥‥ぼくに、どうしろと？,So... what would you like me to do about it...?,gs2_004.txt
私の無実を証明する お手伝いをしていただきたい。,I want you to help me prove I'm innocent.,gs2_004.txt
‥‥あの。ぼくは弁護士で、 探偵じゃありませんよ。,"Um, you do realize I'm a lawyer, not a private investigator, right?",gs2_004.txt
いや。これは、あなたにしか おねがいできないのです。,"No, this is something only you can do.",gs2_004.txt
‥‥‥？,,gs2_004.txt
綾里　真宵。 ‥‥もちろん、ごぞんじですね？,"Maya Fey. You know this girl, correct?",gs2_004.txt
‥‥‥‥！,,gs2_004.txt
（アヤサトマヨイ‥‥ どうして、その名前が‥‥！）,(Maya! Why would he know her name...!?),gs2_004.txt
あなた、彼女の下で しばらく働いていたそうですね。,I heard you were working under her for a little while.,gs2_004.txt
まあ、たしかに‥‥。って、 ちょっと待ってください！,"Well, yes... I mean... Hey, wait a second here!",gs2_004.txt
ぼくが“彼女の下で” 働いていたんですか？,I worked UNDER her!?,gs2_004.txt
ええ。ちがうんですか？ 彼女はそう言っていましたが‥‥。,"Yes. Am I wrong? She told me, so I'm not quite sure if...",gs2_004.txt
‥‥以前、いっしょに 法廷に立っていたんです。,"Well, we worked a few trials together.",gs2_004.txt
‥‥今はもう、“修行”に もどってしまいましたけど。,But she went back to her hometown to undergo more training.,gs2_004.txt
ええ、聞いてますよ。 おさびしいでしょう。,"Ah, yes, I heard. It must be lonely for you.",gs2_004.txt
な、そんな！ べ、べつにぼくは‥‥,Wh-What!? Wait... I'm not...!,gs2_004.txt
彼女の“修行”、リッパに 実をむすんだようですよ。,She must be an extraordinary girl to handle such rigid training.,gs2_004.txt
えっ。,Huh?,gs2_004.txt
私の知り合いに、オカルトに くわしい人がいまして。,I have an acquaintance who knows a lot about these mystical sorts of things.,gs2_004.txt
紹介してくれたのです。 綾里　真宵さんをね。,She's the one who introduced me to Ms. Fey.,gs2_004.txt
（‥‥真宵ちゃん‥‥ そんな有名人だったのか？）,(Is Maya... really that famous...?),gs2_004.txt
で、私。 このたび、依頼したんですよ。,And I've already set up an appointment.,gs2_004.txt
ナニをですか？,For what?,gs2_004.txt
霊媒ですよ。 決まってるでしょう！,What else!? A channeling!,gs2_004.txt
勝手に死んだ、あの看護師を 呼びだしてもらうんです！,I'm going to have her call the spirit of that nurse that went and got herself killed!,gs2_004.txt
な、なるほど‥‥。,O-Oh.,gs2_004.txt
（真宵ちゃん、か。 ‥‥どうしてるかな）,(Maya... I wonder what she's up to right now...),gs2_004.txt
あたしたち綾里家の女は代々、 霊媒師として生きてきたの。,"We, the women of the Fey family, have always been spirit mediums.",gs2_004.txt
綾里の血は、強い霊力を 宿しているから‥‥。,It's because the power to communicate with spirits flows strongly through us.,gs2_004.txt
（‥‥そんなこと言ってたっけ）,(That's what she told me...),gs2_004.txt
（どうやら、一人前に なれたみたいだな‥‥）,(I guess she's learned to accept her responsibilities and become an adult...),gs2_004.txt
彼女、修行以外で、だれかの霊を 呼び出すのは初めてなので、,"Not counting training, this will be her first time channeling a spirit,",gs2_004.txt
１つ、条件を出してきましてね。 それで引き受けてくれることに。,so she gave me one condition before accepting my request.,gs2_004.txt
‥‥条件？,A condition...?,gs2_004.txt
それが、あなたなんですよ、 成歩堂さん。,"The condition is you, Mr. Wright.",gs2_004.txt
あなたが立ち会うなら、 霊媒を引き受ける、と言うんです。,She said that she wouldn't do the channeling without first seeing you again.,gs2_004.txt
‥‥ぼくが‥‥,Me...?,gs2_004.txt
ということで、 つきあっていただけますね！,And that is why I've searched you out!,gs2_004.txt
あなたも、会いたいでしょう？ ‥‥彼女に。,"You want to see her too, don't you!?",gs2_004.txt
（‥‥というわけで‥‥）,(And so...),gs2_004.txt
（ぼくは、彼女のふるさとへ 同行することになった‥‥）,(that is how I ended up visiting Maya's hometown with the doctor...),gs2_004.txt
同日　某時刻 成歩堂法律事務所,June 20 Wright & Co. Law Offices,gs2_004.txt
‥‥ずいぶんひさしぶりに 帰ってきた気がする。,Phew. It feels like I've been gone forever.,gs2_004.txt
でも、たった１日しか たっていないんだよな‥‥,But it's only been one day...,gs2_004.txt
（あ、そういえば‥‥）,"(Oh, that's right!)",gs2_004.txt
霧崎先生、あの日、 新聞を持ってきてたっけ‥‥。,Where's that newspaper Dr. Grey brought the other day...?,gs2_004.txt
‥‥ああ、あった。 デスクの上だ。,"...Ah, here it is. Right on top of my desk.",gs2_004.txt
（霧崎先生の残した たった１つの手がかりだ‥‥）,(This is the only thing he left behind that's going to be of any help...),gs2_004.txt
証拠品《新聞記事・１》を 法廷記録に挟んだ。,Newspaper Clipping 1 added to the Court Record.,gs2_004.txt
観葉植物のチャーリーくん。,Charley. A quite decorative plant.,gs2_004.txt
今は亡くなってしまった所長、 千尋さんの形見‥‥だ。,"It's a memento of my boss, Mia... who passed away.",gs2_004.txt
散らかりほうだいの事務所だけど、 こいつの世話だけは忘れない。,"The rest of the room may be in shambles, but I always manage to care for this little fella.",gs2_004.txt
ムズカシイ法律の本が あざ笑うように並んでいる。,Difficult-looking legal books stand in a formidable row. They mock me.,gs2_004.txt
‥‥そういえば、うっすらと ホコリをかぶってるな。,"...Actually, I've neglected them for so long, a layer of dust has started to form.",gs2_004.txt
たまには‥‥せめて 読むフリだけでもしてみるか。,"One of these days, I should try to build up the courage to read one... Maybe.",gs2_004.txt
窓の向かいがわには、 巨大なビルがそびえている。,There is a giant building just outside the window.,gs2_004.txt
“ホテル・バンドー” ゴウカな高級ホテルだ。,"It's the Gatewater Hotel, a high-class, luxury hotel.",gs2_004.txt
ちょっと前までは、ただの ビジネスホテルだったのに。,"Until recently, it had been a normal, business-class hotel.",gs2_004.txt
ぼくのデスクだ。,It's my desk.,gs2_004.txt
‥‥新聞記事の切り抜きが あるな‥‥。,...That newspaper clipping is still there.,gs2_004.txt
きのうの夜、霧崎先生が 忘れていったものだ。,Dr. Grey must have forgotten to take it with him last night.,gs2_004.txt
証拠品《新聞記事・１》を 法廷記録に挟んだ。,Newspaper Clipping 1 added to the Court Record.,gs2_004.txt
ぼくのデスクだ。,It's my desk.,gs2_004.txt
あまり座る機会がないため、 いやにキチンとかたづいている。,I keep it neat for those rare occasions when I actually have a client in the office.,gs2_004.txt
