Japanese,English,Note
９月　８日　午前１１時４３分 地方裁判所　被告人第１控え室,"September 8, 11:43 AM District Court Defendant Lobby No. 1",gs2_002.txt
き‥‥記憶喪失！,A-Amnesia!?,gs2_002.txt
そ、そんな状態で アタシの弁護を‥‥。,I can't believe my lawyer's trying to defend me in such a state...,gs2_002.txt
‥‥まあね。,I... Uh...,gs2_002.txt
どーして 言ってくれなかったッスかッ！,"Why didn't you tell me, sir!?",gs2_002.txt
‥‥ごめん。 なんか、言い出せなくて‥‥。,I'm sorry I didn't mention it to you.,gs2_002.txt
‥‥あッ、そうだ！,Oh! I know what to do!,gs2_002.txt
スゴいショックを与えると なおるコトがあるらしいッス！,I heard you can fix something like this with a really strong shock to your system!,gs2_002.txt
さ。さ。アタマ出してください！ マコ・キックを食らわすッス！,"Come on, lower your head a little! A Maggey Kick should be all you need!",gs2_002.txt
い、いやいやいや！ エンリョしておくよ。,"Ah, no, no, no. I think I'll pass on this one.",gs2_002.txt
あ‥‥スミマセン。,"Come on!... Ah, I'm sorry.",gs2_002.txt
スズキ、困ってるヒトを見ると ほっとけないッス‥‥。,"Whenever I see someone in trouble, I have a hard time leaving them alone...",gs2_002.txt
つい、おせっかい焼いて、 すべてをブチ壊すッス。,I tend to stick my nose where it doesn't belong and try to tackle everyone's problems.,gs2_002.txt
（‥‥このトシでアタマを ブチ壊されちゃたまらないな）,"(Well, my head's one problem you won't be tackling today...)",gs2_002.txt
とにかく今は、きみのピンチを 切り抜けるほうが先だよ。,"Well, we're here to solve your problem first. We can deal with mine later.",gs2_002.txt
ぼくが知らないことは、 なんでも教えてくれないか？,"For now, do you think you can fill me in on a few things?",gs2_002.txt
カンゲキです！,Of course! I'd be honored to!,gs2_002.txt
じゃあ、ええと‥‥。 まず、自己紹介からいきますねッ！,"Ah, well, I guess we'll start with my name and then I can tell you about me!",gs2_002.txt
‥‥いやいやいや。 さすがにそれは、わかってるよ。,"No, no, that's ok. Really. I think I know you and your name pretty well by now.",gs2_002.txt
‥‥どっちかと言うと、 ぼく自身のほうがナゾなんだけど。,I was wondering if you could help me figure out a few things about myself.,gs2_002.txt
“ナルホドー”だっけ？ ‥‥ヘンな名前。,"So, my name is ""Phoenix Wright""? What a weird name.",gs2_002.txt
ううう。重症ッス‥‥。,Hmmmm... This is serious. You really don't remember.,gs2_002.txt
しかたありませんね‥‥。 これ、お貸しするッス。,"I'll tell you what, sir. You can have this back, and maybe it'll help!",gs2_002.txt
‥‥‥‥？ これは‥‥名刺？,This is... a business card?,gs2_002.txt
成歩堂さんからもらった、 スズキの宝物ッス。,I got this from you. It's my most prized possession!,gs2_002.txt
あとで返してくださいねッ！,"You can borrow it for now, but please give it back, OK!?",gs2_002.txt
う、うん。 （ウラに数字が書いてある‥‥）,OK. (There are some numbers written on the back...),gs2_002.txt
あ、それは携帯電話の番号ッス。 ‥‥成歩堂さんの。,"Oh, that's your cell phone number!",gs2_002.txt
証拠品《成歩堂の名刺》を 法廷記録に挟んだ。,Phoenix's Business Card added to the Court Record.,gs2_002.txt
ま。これでいちおう、 ナルホド気分にはなれるから、,"I guess for now, we should stop talking about me,",gs2_002.txt
今度は事件のことだ。,and start talking about this case.,gs2_002.txt
事件のこと‥‥ですか？,This case...?,gs2_002.txt
そう。‥‥手がかりに なりそうな話、ない？,Yup. Can you think of anything that would be helpful for me to know?,gs2_002.txt
