Japanese,English,Note
３月２２日　午前　９時４７分 地方裁判所　被告人第３控え室,"March 22, 9:47 AM District Court Defendant Lobby No. 3",gs2_032.txt
華宮　霧緒が‥‥？,Adrian did it...?,gs2_032.txt
‥‥ええ。,...That's what it looks like.,gs2_032.txt
まさか‥‥！　彼女にそんなこと、 できるわけがない。,"Dude, no way! That woman couldn't do anything like that.",gs2_032.txt
今日の法廷では、あなたに不利な 証拠がザクザク提出されますね。,"In court today, there will be a mountain of evidence that will implicate you.",gs2_032.txt
ザクザク‥‥,A mountain of evidence...?,gs2_032.txt
だれかがあなたに、ツミを着せよう としているのは、まちがいない。,I'm certain there is someone out there trying very hard to pin this whole thing on you.,gs2_032.txt
おねがいしますよ、弁護士さん。 昨日も言いましたけど‥‥,"Please, Mr. Lawyer! Dude, like I said yesterday...",gs2_032.txt
“春風のようにサワヤカなアイツ” ‥‥ですからね、ボク。,"I'm ""refreshing like a spring breeze"", alright?",gs2_032.txt
スキャンダルだけは、ゼッタイに さけなくちゃいけないんですよ。,I can't let any sort of scandal ruin that.,gs2_032.txt
‥‥わかりました。,I understand...,gs2_032.txt
さあ‥‥そろそろ時間ね。,"Well, it's almost time.",gs2_032.txt
千尋さん‥‥,Mia...,gs2_032.txt
今日中にかならず、 無罪判決を勝ちとりましょう。,We must get a complete acquittal today.,gs2_032.txt
わかっています。,I know...,gs2_032.txt
これ以上‥‥真宵ちゃんに、 ツラい思いをさせられません。,I can't focus on Maya's situation right now.,gs2_032.txt
‥‥それに、春美ちゃんにも。,...Or Pearls' either.,gs2_032.txt
何がなんでも、今日中に ネジふせて見せます！,"No matter what, I have to focus on winning this case by the end of the day!",gs2_032.txt
‥‥そうね。 それで行きましょう！,"Indeed. Well, let's get going!",gs2_032.txt
‥‥ピピピピピピ‥‥,...*beep beep beep*...,gs2_032.txt
（‥‥アイツだ‥‥！）,(It's him!),gs2_032.txt
‥‥ピッ‥‥,...*beep*...,gs2_032.txt
‥‥こちら、成歩堂！,This is Wright!,gs2_032.txt
おはようございます。 今日はいよいよ、本番ですね。,"Good morning. This is it, Mr. Attorney; the day of the trial.",gs2_032.txt
ま、真宵ちゃんは‥‥ 真宵ちゃんはブジだろうな！,"Maya... She's unharmed, right!?",gs2_032.txt
さあ‥‥,Well...,gs2_032.txt
今朝のぞいてみたのですが、 ぐったりしてましたよ。,"When I checked on her earlier this morning, she seemed a bit, how shall we say, tired.",gs2_032.txt
‥‥‥‥！,,gs2_032.txt
だいじょうぶ。人は そうカンタンには死にません。,Don't worry. People don't die that easily.,gs2_032.txt
それより、今日の勝負。 それだけを考えることです。,"Besides, what you really should be concentrating on, is winning today's trial.",gs2_032.txt
く‥‥くそッ‥‥,G...Grrrr...,gs2_032.txt
私としても、あなたにはぜひ、 勝ってもらわなければなりません。,"For myself, you must win today's trial.",gs2_032.txt
そこで‥‥,Which is why...,gs2_032.txt
今朝、あなたに１つ、 プレゼントを用意しました。,I sent you a little present this morning.,gs2_032.txt
プレゼント？ なんのことだ、いったい‥‥,Present? What in the world would you want to give me!?,gs2_032.txt
法廷が始まれば、 わかるでしょう。イヤでも。,"You'll figure it out once the trial opens... even if you don't ""like"" my gift...",gs2_032.txt
こころよく受けとって ‥‥そして、勝ってください。,"I expect you to graciously accept it, and win the day's contest... If you please.",gs2_032.txt
ちょっと待て！,Wait!,gs2_032.txt
‥‥ピッ‥‥,...*beep*...,gs2_032.txt
（ユーカイ犯がぼくに “プレゼント”だと‥‥？）,"(The kidnapper sent me a ""present""...?)",gs2_032.txt
弁護士さん。 ‥‥今のは‥‥？,Mr. Lawyer dude? Who was that...?,gs2_032.txt
あ、ああ‥‥ベツに。あなたには ゼンゼンカンケイありませんから。,"Ah, um... No one. It has nothing to do with you, so forget you heard anything!",gs2_032.txt
‥‥ウソっぽいなあ。,"...Dude, did your nose just get longer?",gs2_032.txt
同日　午前１０時 地方裁判所　第３法廷,"March 22, 10:00 AM District Court Courtroom No. 3",gs2_032.txt
これより、王都楼　真悟の 法廷を開廷します。,Court is now in session for the trial of Matt Engarde.,gs2_032.txt
検察側・弁護側とも、 準備のほうはよろしいですか？,Are the prosecution and defense ready?,gs2_032.txt
弁護側、準備完了しております。,"The defense is ready, Your Honor.",gs2_032.txt
コラッ！　弁護人！ 狩魔検事はどうしたんですか！,I say! Mr. Wright! What happened to Ms. von Karma!?,gs2_032.txt
しし、知りませんよ！ （なんでぼくに怒るんだよ！）,"I-I don't know, Your Honor! (Why are you getting mad at me!?)",gs2_032.txt
‥‥裁判長どのッ！,...Your Honor!,gs2_032.txt
静かになさい、係官。 開廷中ですぞ。,"Please be quiet, bailiff. Court is in session.",gs2_032.txt
用件は手みじかにおねがいします。 ‥‥なんですかな？,"If you must tell me something, please keep it brief. Now then, what is it?",gs2_032.txt
‥‥検事が‥‥狩魔検事が‥‥,Prosecutor... Prosecutor von Karma has...,gs2_032.txt
今朝、ナニモノかに‥‥ 狙撃されました！,"This morning, Ms. von Karma was shot by an unknown gunman!",gs2_032.txt
ななななんですってェェェッ！,WWWWWWWHAT!?,gs2_032.txt
そ‥‥狙撃だって！,Sh-Shot!?,gs2_032.txt
‥‥どうやらこれが‥‥,Somehow...,gs2_032.txt
あの男が言ってた “プレゼント”というわけね。,"I think this is the ""present"" that man was talking about.",gs2_032.txt
“プレゼント”‥‥！,"His ""present""...!",gs2_032.txt
狩魔検事は、今、この国で もっとも優秀な検事よ。,Ms. von Karma is one of the top prosecutors in the country at the moment.,gs2_032.txt
その検事を‥‥消した。,If she disappeared...,gs2_032.txt
これであなたは‥‥ “有利になった”ということ。,"This would be to your ""advantage"".",gs2_032.txt
（そ‥‥そんな‥‥ まさかそんな、バカな！）,(Th-This... This is totally insane!),gs2_032.txt
か‥‥狩魔検事は！ 彼女のイノチは‥‥！,M-Ms. von Karma! Is she alright!?,gs2_032.txt
わ、私に聞かれても‥‥,I don't have that answer!,gs2_032.txt
‥‥イノチに別状はない。 狩魔　冥は生きている。,She's alive and in stable condition.,gs2_032.txt
そうですか‥‥ ホッとしました。,That's good... Phew.,gs2_032.txt
